//hour,name,pinyin,score
4,张流雾,liu-wu,96
4,张蜂蛾,feng-e,87
4,张吾闻,wu-wen,81
4,张闻荪,wen-sun,76
4,张吾可,wu-ke,74
9,王何巫,he-wu,79
9,王听大,ting-da,76
9,王何营,he-ying,74
9,王羿革,yi-ge,73
16,李伊迩,yi-er,N/A
16,李忧殷,you-yin,N/A
16,李芄兰,wan-lan,N/A
16,李燕燕,yan-yan,N/A
16,李叶维,ye-wei,N/A
16,李衣衣,yi-yi,N/A
16,李胡归,hu-gui,N/A
